project_id,project_name,category_id,project_intro,area,status,create_time,update_time,create_id,update_id
1,景德镇手工柴窑制瓷技艺,1,景德镇手工柴窑制瓷技艺是国家级传统手工技艺类非遗，起源汉代、兴盛宋元明清，是古代皇家御窑核心工艺，整套工序合计 72 道细分流程，从高岭矿石采掘、原料淘洗陈腐、揉泥醒泥、手工拉坯利坯、纹饰手绘、内外施釉，再到松木柴窑装窑、控温烧制、开窑拣选、瑕疵修补全流程纯手工完成，全程无工业模具与电热窑替代。古法柴烧依靠松木自然升温，窑温随木柴燃烧自然起伏，造就每一件瓷器独一无二的窑变釉色。项目现存以王龙根等省级传承人为核心的古法柴烧工坊，工坊复原明清小型柴窑，常年开展非遗研学、仿古瓷创作、古法技艺展演，项目除仿古陈设瓷制作外，还开发日用文创瓷品，带动景德镇周边小型瓷作坊就业；项目先后入选江西省重点非遗生产性保护项目，多次亮相国内外文博展会，每年接待研学团队超 3 万人次，是我国陶瓷活态传承标杆项目。,江西景德镇,1,2025/5/1,2025/5/1,1,2
2,昆山昆曲《牡丹亭》表演技艺,2,昆曲《牡丹亭》表演技艺隶属于传统戏曲非遗大类，昆曲号称百戏之祖，《牡丹亭》为汤显祖传世经典剧目，距今四百余年历史，水磨腔唱腔、古典身段、传统服饰、古式伴奏构成整套完整表演体系。唱腔严守昆山水磨腔格律，四声平仄严格遵循古曲谱，身段程式沿用明清昆曲舞台范式，分生旦净各行专属台步、水袖、指法，伴奏以曲笛、三弦、琵琶、檀板等传统民族乐器。项目由国家级传承人汪世瑜牵头保护，组建专业传习院团，一方面复原失传古版折子戏，另一方面改编适合青少年的精简演出版本，项目落地苏州多所高校戏曲课堂，每年全国公益巡演 40 场以上，入选江苏省非遗进校园重点扶持项目，同时收录进国家级非遗数字化存档工程，完成全剧高清录像、曲谱整理归档。,江苏苏州,2,2025/5/2,2025/5/2,1,1
3,成都蜀绣花鸟针法技艺,23,蜀绣花鸟针法技艺是四大名绣蜀绣核心分支，起源川西民间刺绣，距今两千余年发展历史，现存晕针、掺针、切针、滚针等上百种独家针法，擅长熊猫、芙蓉、花鸟等巴蜀特色纹样，以天然桑蚕丝为原料，底料选用软缎、纱、棉麻等多种面料。项目由省级传承人李淑芬创办非遗绣坊，绣坊设置助残传习基地，面向残障人士、下岗女工免费授艺，配套原料免费供给、就业帮扶机制；产品分为高端收藏屏风、日用服饰绣品、文创书签三大品类，多次入选国家级工艺美术展，项目纳入四川非遗生产性保护名录，每年开设长周期系统培训班 3 期，累计培养专职绣工超 200 人。,四川成都,3,2025/5/3,2025/5/3,1,1
4,安塞腰鼓传统表演技艺,9,安塞腰鼓为陕北标志性鼓舞类民俗舞蹈非遗，起源古代祭祀驱邪、庆丰收仪式，成型宋代，依托黄土高原民俗发展，表演分为单人鼓舞、双人对打、百人方阵集体演出三种形式，配套大鼓、小镲、铜锣整套传统打击乐，队列变换包含一字长蛇、方阵合围、穿插跳跃数十种传统阵法。传承人张卫国组建 36 人专职民间艺术团，扎根陕北各乡镇，项目除节庆汇演外，落地乡村文旅定点演出、中小学课间体验课程，先后登上全国农民运动会、国家级民俗展演舞台，项目被列入陕西省乡村非遗扶持工程，政府专项补贴艺术团下乡巡演路费与演出物资。,陕西延安,4,2025/5/4,2025/5/4,1,1
5,同仁堂古法丸药炮制技艺,15,同仁堂古法丸药炮制源自清代宫廷中医药配方，是中医中药炮制核心非遗项目，涵盖净选药材、切制饮片、酒炙醋煅、蜜炼制丸、晾丸分装全古法流程，遵循宫廷药书规范，不同丸剂对应专属火候与辅料配比。项目传承人刘庆收藏明清炮制古籍 37 册，依托北京非遗馆常设固定科普展厅，每周定点现场实操演示古法炮制工艺；项目联合北京中医药大学开展古法炮制课题研究，整理失传老药方，同步开发古法养生药膳科普产品，是北京中医药非遗科普标杆项目，常年面向市民、中医药专业学生开放研学参观。,北京东城,5,2025/5/5,2025/5/5,1,1
6,格萨尔史诗藏族口头说唱,7,格萨尔史诗列入人类非物质文化遗产名录，是藏族世界级口头文学非遗，全本超百万行诗句，无固定成文原稿，依靠说唱艺人全脑记忆、口头传唱，表演搭配藏式弹拨乐器伴奏，内容囊括部族征战、英雄传说、藏族民俗、远古生产知识。传承人才让旦周出身三代说唱世家，熟练说唱全本史诗，项目以玉树牧区为核心传承区域，每年开展牧区巡回说唱演出，同步配合青海文旅完成史诗数字化录音录像工程，分章节建档入库，项目设立牧区传习点，招收藏族青少年学徒，由老艺人定点授课。,青海玉树,6,2025/5/6,2025/5/6,1,1
7,浙江嵊州越剧唱腔技艺,2,尹派越剧唱腔是越剧核心流派技艺，源自嵊州落地唱书，晚清成型，唱腔温润婉转、语言贴合浙东方言，是越剧小生主流唱腔体系，配套专属板式、调式与舞台表演身段。传承人陈月华退休后创办社区越剧学堂，面向中老年戏曲爱好者免费授课，配备专业练功房、传统戏服、伴奏乐器，项目落地嵊州多所中小学戏曲社团，每年编排新改编传统剧目下乡公益演出，项目入选浙江省地方戏曲保护扶持项目，地方文旅划拨专项经费用于剧目复排与学员物资。,浙江嵊州,7,2025/5/7,2025/5/7,1,1
8,佛山石湾陶瓷公仔烧制,24,石湾公仔烧制技艺是岭南特色陶瓷非遗，始于唐宋，以本地含铁陶土为原料，低温素烧 + 釉烧双层工艺，作品多为民俗人物、鸟兽、瓜果摆件，乡土气息浓郁，分为陈设摆件、民俗玩偶两大品类。传承人梁炳昌祖传三代陶艺手艺，在佛山陶艺馆设常驻展演工坊，开设少儿陶艺暑期研学营，5 天为一期，全年 12 期固定开班，游客可亲手搓泥塑形、小型低温烧制体验；项目产品远销港澳与东南亚，是佛山文旅标志性文创产品，纳入广东非遗工坊扶持名录。,广东佛山,8,2025/5/8,2025/5/8,1,1
9,苏绣平针手工刺绣技艺,23,苏绣平针是苏绣基础核心针法，衍生打籽绣、双面异色绣等高端技法，以精细走线、配色雅致闻名，作品多用于双面屏风、团扇、高端服饰装饰。传承人周秀珍深耕双面绣创作，耗时 18 个月完成的熊猫双面屏风被中国工艺美术馆永久馆藏；项目在苏州设立苏绣传习所，对接工艺美术院校校企合作，培养专业绣艺人才，作品频繁亮相国内外非遗博览会与工艺美术展会。,江苏苏州,9,2025/5/9,2025/5/9,1,1
10,凤翔泥塑彩绘制作技艺,28,凤翔泥塑源自先秦陪葬泥塑工艺，明清转向民俗摆件，天然黏土手工塑形自然阴干，天然矿物颜料彩绘，生肖、福娃、瑞兽是主力题材。传承人王栓柱家族六代深耕泥塑，产品销往全国各大文旅景区，项目联合文创公司开发冰箱贴、摆件等衍生文创，每年国内文旅博览会固定参展，宝鸡政府扶持建设凤翔泥塑非遗产业园，集中作坊规模化传承。,陕西宝鸡,10,2025/5/10,2025/5/10,1,1
11,扬州漆器嵌螺钿工艺,29,扬州螺钿漆器为宫廷御用非遗，以天然贝壳打磨薄片镶嵌漆胎，多层天然大漆反复髹涂打磨，单件作品制作周期可达数月。传承人马桂兰受故宫委托复刻宫廷小型陈设漆器，历时 8 个月完工并入藏故宫；项目落地扬州非遗工坊，开设漆器体验课，面向游客科普髹漆、嵌贝全套古法工序。,江苏扬州,11,2025/5/11,2025/5/11,1,1
12,东阳红木深浮雕木雕,22,东阳木雕三大核心技法之一，选用红木、樟木等硬木，浮雕、透雕、镂空结合，多用于古建门窗、祠堂、红木家具装饰。传承人葛金水为国家级木雕匠人，常年承接浙江各地明清古建修缮工程，带队手工修复破损雕花构件；项目开设木雕学徒培训班，定向为古建筑修缮行业输送匠人。,浙江东阳,12,2025/5/12,2025/5/12,1,1
13,福鼎白茶日光萎凋制茶,25,福鼎白茶古法技艺，不炒不揉、全靠日光自然萎凋，依托福鼎本土高山茶树鲜叶，分白毫银针、白牡丹、寿眉多个品类，百年茶树原料为高端茶品。传承人林福生自建古树茶园，每年开园举办采茶民俗活动，现场演示古法萎凋工艺，各地茶商、茶文化爱好者齐聚茶山，项目助力福鼎白茶文旅融合，是闽东茶产业非遗核心项目。,福建福鼎,13,2025/5/13,2025/5/13,1,1
14,宜兴紫砂手拉坯制壶,24,宜兴紫砂手拉坯选用本地原矿紫砂泥，全手工揉泥、拉坯、修坯、自然阴干、柴窑烧制，窑变形成独一无二壶体肌理。传承人顾景明改造私人工坊为研学基地，面向全国预约体验，游客全程实操制壶全流程，基地成为宜兴网红非遗打卡地，项目联动宜兴紫砂产业园，推动手工壶文创市场化。,江苏宜兴,14,2025/5/14,2025/5/14,1,1
