category_id,category_name,category_desc,create_time,update_time,create_id,update_id
1,传统手工技艺,各类原材料古法手工造物加工工艺，【详情】传统手工技艺是我国非遗体量最大门类，依托天然原料纯手工制作、师徒口传心授代代传承，细分陶瓷烧造、木雕石刻、四大刺绣、古法制茶、漆器髹饰、竹藤编织、金属锻錾、锡器打造、剪纸泥塑、古法造纸、制墨制笔、草木染织上百个子类。技艺根植古代农耕与手工业生产，多数无标准化机器生产替代，每件成品依靠匠人常年实操积累手感，广泛应用于日用器皿、服饰、建筑装饰、民俗摆件，是中华传统手工业文明活态遗存，全国各地依托本土物产演化出地域特色手艺。,2026/1/2 8:20,2026/1/3 9:10,1,1
2,传统戏曲,各地地方戏、舞台表演类综合戏曲艺术，【详情】传统戏曲集合唱腔、身段、脸谱、器乐、服饰、剧目于一体，包含昆曲、京剧、越剧、黄梅戏、川剧、秦腔、河北梆子等数十个剧种。昆曲被誉为百戏之祖，成型于元末昆山；京剧融合徽汉二腔成为国粹；南方戏曲唱腔婉转细腻，北方梆子腔高亢雄浑，各剧种拥有专属行当划分、程式化表演范式与经典传统剧目。表演依托戏台、庙会、剧场开展，古时是民间主要文娱形式，如今依靠专业院团、民间戏班、非遗传承人进校园等方式活态保护传承。,2026/1/2 8:25,2026/1/4 10:32,1,1
3,傀儡表演艺术,皮影、木偶等光影人偶表演非遗，【详情】傀儡表演分皮影戏与木偶戏两大分支，皮影以牛羊皮雕镂影人，依托灯光隔幕投影搭配本土唱腔演出，国内分为唐山皮影、陕西皮影、江汉皮影三大主流流派；木偶细分为提线木偶、杖头木偶、布袋木偶，福建泉州提线木偶、扬州布袋木偶是国家级代表性项目。旧时乡村庙会、祈福祭祀、节庆集市随处可见傀儡演出，剧目大多取材神话传说、历史演义，是古代底层百姓重要休闲文化。,2026/1/3 9:05,2026/1/5 14:21,1,1
4,岁时节令民俗,二十四节气衍生传统节庆风俗，【详情】囊括春节、元宵、清明、端午、七夕、中秋、重阳、祭灶八大传统节日，每个节日配套固定饮食、祭祀、文娱、礼仪习俗。春节贯穿腊月小年至正月十五，贴春联、守岁、年夜饭、拜年逛庙会；端午包粽子、赛龙舟、悬艾草佩香囊；中秋赏月祭月、制作各式月饼；清明扫墓踏青、吃青团。南北地域、少数民族在习俗细节上各有演变差异，整套节庆体系承载中国人团圆、祈福、追思的精神诉求，部分节日列入人类非物质文化遗产代表作名录。,2026/1/3 9:12,2026/1/6 11:05,1,1
5,人生礼仪民俗,诞生、婚嫁、丧葬全流程传统礼制习俗，【详情】包含诞生礼、婚嫁礼、丧葬礼三大板块，诞生礼涵盖报喜、满月宴、剃胎发、周岁抓周；传统婚嫁遵循三书六礼古制，纳采、问名、纳吉、纳征、请期、亲迎流程完整，各地婚嫁服饰、婚宴、迎娶仪式各具地域特色；丧葬礼仪包含入殓、守灵、出殡、下葬、祭七等整套流程，融合宗族祭祖、风水民俗、孝道文化。礼仪民俗扎根宗法社会，是华夏家风与宗族文化的具象体现。,2026/1/4 10:18,2026/1/7 15:40,1,1
6,民间神话传说,上古创世与山水风物口头文学，【详情】分为上古创世神话与地方风物传说，神话以盘古开天、女娲补天、大禹治水、精卫填海等远古故事为主，记录先民对天地起源、自然现象的原始认知；风物传说依附名山、河湖、古寺、地标诞生，例如西湖白蛇传、崂山神仙传说、各地山神河伯故事。全部依靠口头代代讲述传承，无固定书面原稿，在流传过程中不断被当地人增补改编，是民间文学的源头。,2026/1/4 10:29,2026/1/8 8:55,1,1
7,英雄史诗,少数民族长篇口头说唱史诗，【详情】以藏族《格萨尔》、柯尔克孜族《玛纳斯》、蒙古族《江格尔》三大世界级史诗为核心，全部依靠民间说唱艺人记忆全篇、口头传唱，动辄几十万行篇幅，内容包含民族征战、英雄历险、部族民俗、远古历史。艺人搭配马头琴、藏式弹拨等乐器伴奏表演，多在民族节庆、那达慕、牧区集会演出，是游牧民族千年历史与精神文化的活载体。,2026/1/5 11:06,2026/1/9 13:17,1,1
8,民间短篇口头文学,童话、谚语、歌谣等小型民间文艺，【详情】包含民间童话、农事谚语、山野歌谣三类，民间童话多以小动物、神仙助人为主线，用于孩童启蒙教育；农谚凝练古人节气、气象、农耕生产经验，指导春耕秋收；民间歌谣诞生于田间劳作，采茶调、插秧歌、渔歌均是劳动者即兴创作，依托方言传唱，地域不同曲调、歌词差异明显，遍布全国乡村。,2026/1/5 11:15,2026/1/10 16:22,1,1
9,鼓舞类民俗舞蹈,节庆集体锣鼓伴奏民俗舞蹈，【详情】代表项目安塞腰鼓、各地秧歌舞，依靠锣鼓伴奏集体起舞，安塞腰鼓源自陕北黄土高原，动作粗犷奔放、跳跃击鼓，是陕北春节、婚嫁、丰收庆典标配；东北秧歌、山东秧歌手持彩绸、手绢、彩扇，踩高跷沿街巡游表演。舞蹈起源古代祭祀、祈福仪式，如今广泛用于乡村文旅汇演、民俗节庆展演。,2026/1/6 13:22,2026/1/11 9:38,1,1
10,瑞兽传统舞艺,南北舞龙、舞狮民俗表演技艺，【详情】瑞兽传统舞艺分为舞龙与舞狮两大体系，是我国年节庆典、祈福纳祥的核心民俗表演。舞龙包括草龙、布龙、火龙、竹龙等多种样式，龙身由竹篾扎骨、彩布糊面，少则数米、多则百米，需多人配合舞动，模仿龙出水、翻滚、盘旋等动作。元宵、春节等时节，舞龙队伍穿行村镇街道，沿途燃放鞭炮迎接，寓意驱邪避灾、风调雨顺。舞狮分化南狮与北狮：南狮以广东佛山为代表，注重神态威武，擅长高桩采青 —— 舞狮者攀爬数米高的梅花桩取下悬挂的生菜，动作惊险刺激；北狮以河北、北京一带为典型，侧重翻滚跳跃、绣球逗狮等杂耍式表演，风格俏皮活泼。狮子头扎制本身也是一门传统手工技艺，以竹篾搭骨架、多层纱布裱糊、再彩绘上色，狮头重量需控制精准以利舞动。开业庆典、年节庙会、婚庆喜事中，锣鼓一响、瑞兽起舞，既是民间艺术的高光时刻，也是中华民俗的生命力象征。,2026/1/6 13:35,2026/1/12 10:14,1,1
