comment_id,news_id,user_id,content,status,create_time,update_time
1,1,1,这篇文章写得太好了，受益匪浅！,1,2026/6/7 13:30,2026/6/7 13:30
2,1,2,感谢分享，很有帮助的内容。,1,2026/6/7 13:30,2026/6/7 13:30
3,2,1,非常实用的资讯，收藏了！,1,2026/6/7 13:30,2026/6/7 13:30
4,2,3,期待更多这样的优质内容。,1,2026/6/7 13:30,2026/6/7 13:30
5,1,5,好有意思，第一次了解到这个非遗项目。,1,2026/6/7 17:43,2026/6/7 17:43
6,3,2,传统工艺太有魅力了，为手艺人点赞！,1,2026/6/8 9:15,2026/6/8 9:15
7,4,4,这个非遗项目的传承故事好感人，看完很有感触。,1,2026/6/8 10:20,2026/6/8 10:20
8,5,1,干货满满，学到了很多冷门知识！,1,2026/6/8 11:05,2026/6/8 11:05
9,6,3,图片和文字结合得很好，内容很直观易懂。,1,2026/6/8 14:30,2026/6/8 14:30
10,7,2,被非遗的魅力圈粉了，以后会多关注这类内容。,1,2026/6/8 15:12,2026/6/8 15:12
11,8,5,这个非遗技艺的细节讲得很清楚，看完长知识了。,1,2026/6/9 8:45,2026/6/9 8:45
12,9,4,文章写得很用心，能感受到对非遗的热爱。,1,2026/6/9 9:30,2026/6/9 9:30
13,10,1,原来这个非遗背后还有这么多故事，太有意思了！,1,2026/6/9 10:15,2026/6/9 10:15
14,11,3,内容很专业，科普了很多非遗相关的冷知识。,1,2026/6/9 11:20,2026/6/9 11:20
15,12,2,为这些坚守传统的传承人致敬，他们太了不起了。,1,2026/6/9 14:05,2026/6/9 14:05
16,13,4,文章结构很清晰，读起来一点都不费劲。,1,2026/6/9 15:30,2026/6/9 15:30
17,14,5,看完想去实地看看这个非遗项目，太有吸引力了！,1,2026/6/10 8:15,2026/6/10 8:15
18,15,1,这样的非遗科普内容真的很有意义，希望多更！,1,2026/6/10 9:40,2026/6/10 9:40
19,16,3,第一次知道这个非遗，被种草了，准备去了解更多。,1,2026/6/10 10:25,2026/6/10 10:25
20,17,2,文章写得很有温度，能感受到非遗的生命力。,1,2026/6/10 11:10,2026/6/10 11:10
