news_id,title,content,user_id,status,summary,publish_time,create_time,update_time
1,苏州昆曲大师汪世瑜昆曲进校园公益开课,2025 年 5 月，苏州市文化广电和旅游局联合全市 25 所公办中小学正式启动年度昆曲进校园系统性公益项目，项目周期覆盖全年，计划落地 120 场分批次公益戏曲课堂。国家级昆曲传承人汪世瑜作为项目首席艺术指导，亲自带队昆剧院专业演员走进校园，每堂课包含昆曲基础知识科普、经典选段现场演唱、身段实操教学三大环节，课堂选取《牡丹亭・游园》等经典折子片段进行现场展演，打破传统戏曲距离感。项目同步配套免费戏服、伴奏乐器进校园，课后开设校园昆曲兴趣社团，由院团演员定点每周课后辅导。苏州文旅配套专项扶持资金，用于学员道具采购、演出编排，项目落地后累计覆盖在校中小学生超 4 万人次，成为江苏省戏曲普及标杆项目，相关活动纪实同步录入苏州非遗数字化档案系统。,editor1,published,2025 年 5 月，苏州市文旅局联合 25 所中小学启动昆曲进校园公益项目，国家级传承人汪世瑜任首席艺术指导，项目全年计划落地 120 场公益课堂，覆盖中小学生超 4 万人次，成为江苏省戏曲普及标杆项目。,2025/5/1,2026/6/7 17:00,2026/6/7 17:32
2,景德镇非遗瓷博会开幕，王龙根现场柴窑制瓷展演,2025 景德镇国际陶瓷博览会于 5 月 3 日在景德镇国际会展中心正式启幕，展会为期七天，汇聚国内外陶瓷匠人 320 余名，涵盖仿古柴烧、现代陶艺、日用瓷全品类非遗作品。省级制瓷传承人王龙根受组委会邀请，在非遗专属展区搭建 1:1 缩小版明清古法柴窑，展会全周期每日分上下午两场现场实操演示，完整展示从揉泥拉坯到松木入窑烧制全流程，不少陶瓷爱好者、研学团队专程到场观摩学习。本届瓷博会累计接待海内外游客 12 万人次，现场达成手工瓷产销合作意向百余项，展会结束后，王龙根柴窑展演全程录像由景德镇非遗保护中心存档，纳入本地非遗资源库。,editor1,published,2025 年 5 月 3 日，景德镇国际陶瓷博览会启幕，省级制瓷传承人王龙根受邀搭建 1:1 明清古法柴窑，每日现场演示制瓷全流程，展会累计接待游客 12 万人次，达成合作意向百余项。,2025/5/3,2026/6/7 17:00,2026/6/7 17:43
3,成都蜀绣工坊李淑芬开设免费残障学员培训班,2025 年 5 月，成都市非遗保护中心联合李淑芬蜀绣非遗工坊正式启动助残非遗帮扶项目，项目定位免费技能培训 + 就业安置双向帮扶，首期面向成都市及周边市县肢体残疾、听力障碍人群公开招生，经过筛选最终录取 42 名适龄学员，学制一整年，培训期间所有丝线、绸缎等原材料全部由工坊承担，同时统一提供食宿保障。课程从基础平针起步，循序渐进学习晕针、掺针等蜀绣核心针法，学期结束考核合格者可直接留在工坊接单生产，或者对接本地文创企业灵活就业。成都文旅、残联共同拨付专项扶持经费，用于课程耗材与学员生活补助，首期项目落地后，后续计划每年开设 1-2 期助残绣艺班，助力残障群体依靠非遗手艺增收致富。,editor1,published,2025 年 5 月，成都非遗保护中心联合李淑芬蜀绣工坊启动助残非遗帮扶项目，首期录取 42 名残障学员，培训期间免费提供原材料与食宿，考核合格可直接就业，后续计划每年开设 1-2 期同类培训班。,2025/5/5,2026/6/7 17:00,2026/6/7 17:32
4,安塞腰鼓张卫国艺术团陕北乡村巡回汇演启动,2025 年 5 月起，延安市文旅局乡村非遗扶持项目落地，安塞腰鼓传承人张卫国带领 36 人全职民间艺术团开启陕北县域公益巡回演出，巡演线路覆盖安塞及周边 18 个乡镇，所有场次全部免费面向当地村民开放。演出编排传统方阵腰鼓、小型双人鼓舞等经典节目，穿插腰鼓历史民俗科普小互动，每到一地同步开设简易体验环节，当地孩童可上手尝试击鼓。延安财政配套乡村文旅补贴，承担艺术团交通、食宿与道具维护费用，本轮巡演历时一个半月，累计线下观演群众超两万三千人，有效盘活陕北乡镇民俗文旅氛围。,editor1,published,2025 年 5 月，安塞腰鼓传承人张卫国带领 36 人艺术团开启陕北 18 个乡镇公益巡回演出，所有场次免费开放，配套腰鼓科普与体验环节，累计观演群众超两万三千人。,2025/5/7,2026/6/7 17:00,2026/6/14 12:24
5,北京非遗馆刘庆安古法中药炮制科普展开展,北京市非物质文化博物馆于 5 月 9 日开启为期两个月的传统医药专题科普特展，本次展览以同仁堂古法丸药炮制技艺为核心，特邀省级传承人刘庆安作为常驻现场科普讲师，每周固定周三至周日全天在展区进行药材酒炙、煅制、蜜炼等古法实操演示。展区同步陈列刘庆安个人收藏的 37 册明清炮制古籍原件、传统炮制老器具，配套图文展板科普历朝中医药炮制演变。单日最高峰入馆参观市民突破 3200 人，不少中医药院校组织学生集体研学，展览全部影像、讲解文稿由北京非遗中心整理归档。,editor1,published,2025 年 5 月 9 日，北京非遗博物馆开启传统医药专题科普特展，省级传承人刘庆安常驻现场演示古法炮制，单日最高入馆 3200 人，展览资料全部由北京非遗中心归档。,2025/5/9,2026/6/7 17:00,2026/6/7 17:44
6,青海玉树格萨尔史诗非遗下乡巡演圆满结束,2025 年 4 月 13 日至 5 月 11 日，历时 28 天的格萨尔史诗牧区公益巡演在玉树全域圆满收官，国家级传承人才让旦周带队深入玉树 13 个游牧乡镇，每到一处选择牧民聚居草场搭建临时演出点位，以藏语口头说唱全本史诗精选段落，搭配本土弹拨乐器现场伴奏。本次巡演由青海省非遗专项资金扶持，累计有数万名藏族牧民到场聆听，巡演全程配备摄制团队，同步完成多场次现场录音、高清录像，素材全部录入青海省非遗数字博物馆永久保存，巡演结束后在玉树州文化馆举办史诗成果分享会。,editor1,published,2025 年 4 月 13 日至 5 月 11 日，格萨尔史诗牧区公益巡演在玉树收官，国家级传承人才让旦周带队深入 13 个游牧乡镇，累计数万名牧民到场聆听，巡演素材全部录入青海非遗数字博物馆。,2025/5/11,2026/6/7 17:00,2026/6/7 17:32
7,嵊州越剧传承人陈月华社区越剧学堂正式开班,2025 年 5 月 13 日，由陈月华自费筹建的社区越剧学堂在浙江嵊州正式揭牌开课，学堂选址城区老旧社区闲置用房，改造标准化练功教室，配齐全套传统戏服、锣鼓弦乐伴奏器材。首期经过社会公开报名筛选 126 名中老年戏曲爱好者，固定每周二、周四、周六全天授课，课程包含唱腔教学、身段练习、经典剧目排练三大板块。嵊州市文旅局免费提供部分戏曲剧本与教学物资，学堂每季度组织一次社区惠民演出，丰富本地中老年文娱生活，成为嵊州基层戏曲传承标杆阵地。,editor1,published,2025 年 5 月 13 日，陈月华自费筹建的社区越剧学堂在嵊州开班，首期录取 126 名中老年学员，固定每周三天授课，每季度组织社区惠民演出，成为当地基层戏曲传承标杆。,2025/5/13,2026/6/7 17:00,2026/6/7 17:32
8,佛山石湾陶艺非遗研学营暑期报名开启,5 月 15 日，广东佛山市非遗保护中心联合梁炳昌石湾陶艺作坊发布暑期少儿陶艺研学招生通知，研学每期 5 天，分上午理论科普 + 下午动手实操，小朋友从黏土搓泥开始，体验人物小陶塑塑形、低温入窑烧制完整流程，全年固定开设 12 期研学班次。研学产品纳入佛山亲子文旅目录，面向全国线上统一预约报名，研学营收部分反哺非遗技艺传承，用于原料采购与学徒补贴。,editor1,published,2025 年 5 月 15 日，佛山非遗保护中心联合梁炳昌陶艺作坊发布暑期少儿陶艺研学招生通知，研学每期 5 天，全年开设 12 期，面向全国线上预约报名。,2025/5/15,2026/6/7 17:00,2026/6/7 17:32
9,苏州苏绣周秀珍双面绣作品入选国家级非遗馆藏,苏绣国家级传承人周秀珍耗时 18 个月倾力创作的双面异色熊猫屏风正式被中国工艺美术馆永久收藏，作品选用 20 余种特制天然桑蚕丝线，正反画面熊猫配色、纹样完全独立，是当代双面绣标杆作品。苏州文旅联合工艺美术协会举办作品入藏发布会，同步对作品全流程创作历程、针法细节做专题记录，资料纳入苏绣非遗档案，周秀珍受邀在国内多场工艺美术论坛分享创作经验。,editor1,published,苏绣国家级传承人周秀珍耗时 18 个月创作的双面异色熊猫屏风，正式被中国工艺美术馆永久收藏，作品创作资料纳入苏绣非遗档案，周秀珍受邀在多场行业论坛分享经验。,2025/5/17,2026/6/7 17:00,2026/6/7 17:32
10,宝鸡凤翔泥塑王栓柱生肖新品亮相全国文旅博览会,5 月 19 日济南全国文旅产业博览会正式开幕，凤翔泥塑传承人王栓携当年龙年生肖系列泥塑新品参展，现场设置手工泥塑体验台，参观者可亲手体验黏土塑形彩绘。展会期间单日现货零售民俗泥塑摆件超 2000 件，同步和三家文旅文创公司达成长期供货合作，拓宽凤翔泥塑全国市场化销售渠道，宝鸡非遗中心现场采集创作影像存档。,editor1,published,2025 年 5 月 19 日，凤翔泥塑传承人王栓柱携龙年生肖新品亮相全国文旅博览会，单日零售超 2000 件，与三家文创公司达成长期供货合作，拓宽全国销售渠道。,2025/5/19,2026/6/7 17:00,2026/6/7 17:32
