inheritor_id,name,project_id,years,intro,status,create_time,update_time,create_id,update_id
1,王龙根,1,40,王龙根，江西景德镇浮梁本地人，省级非物质文化遗产（景德镇手工柴窑制瓷技艺）代表性传承人，1965 年生人，16 岁正式拜当地老御窑匠人拜师学艺，从最基础的原料淘泥起步，历经拉坯、画釉、柴烧全工种历练，整整四十载深耕仿古柴烧领域。早年国营瓷厂改制后，自筹资金在景德镇城郊自建小型古法柴窑研学基地，复原明清民间柴窑形制，严格沿用松木古法控温烧制，拒绝电热窑工业化生产。自 2018 年起，固定每周面向景德镇周边中小学开设免费制瓷体验公益课，年均接待研学学生超 5000 人次；同时承接仿古官窑瓷定制，作品多次入选江西省工艺美术展，先后收徒 17 人，其中 8 人成长为独立瓷艺匠人，基地也成为景德镇市定点非遗研学示范点位，多次受文旅部门邀请在全国瓷博会现场做柴烧实操展演。,1,2026/6/7 17:02,2026/6/7 17:31,1,1
2,汪世瑜,2,50,汪世瑜，江苏苏州人，国家级昆曲《牡丹亭》表演技艺传承人，国内昆曲小生泰斗，从业整整五十年，少年进入江苏昆剧院科班学习，师承民国昆曲老艺人，深耕水磨腔与小生身段研究。一生先后改编《牡丹亭》三个现代适配版本，分别适配专业院团、校园展演、文旅惠民三种场景；受聘于中国戏曲学院、苏州大学艺术学院客座教授，常年在各大戏曲院校开设昆曲专业课。牵头组建苏州昆曲公益推广社，全年落地百余场公益演出，走进全国上百所中小学开展昆曲普及课堂，整理手抄古曲谱近百册，录入国家级非遗曲谱数据库，为昆曲当代活态传承做出标杆性贡献。,1,2026/6/7 17:02,2026/6/7 17:31,1,1
3,李淑芬,3,32,李淑芬，四川成都郫都区人，省级蜀绣花鸟针法技艺传承人，13 岁拜师川西老牌绣坊老师傅，深耕蜀绣三十二年，精通晕针、掺针等上百种蜀绣独门针法。2015 年自筹资金创办民办蜀绣非遗工坊，首创助残传习模式，面向肢体残疾、听力障碍人群免费招收绣艺学徒，免费提供丝线、绸缎等全部原材料，同时包食宿安置就业；首期 42 名学员顺利结业后超 30 人实现自主接单创收。工坊产品分高端收藏屏风与日用文创，多次亮相成都非遗博览会，先后培养专职绣工两百余人，是四川非遗助残典型代表人物。,1,2026/6/7 17:02,2026/6/7 17:31,1,1
4,张卫国,4,29,张卫国，陕西延安安塞本地人，安塞腰鼓市级代表性传承人，出身四代腰鼓世家，从小跟随父辈在乡村庙会、丰收庆典登台表演，从业 29 年。自筹资金组建 36 人全职民间腰鼓艺术团，队员均为安塞本地乡村村民，常年策划陕北县域公益巡回汇演，足迹覆盖 18 个乡镇，所有下乡演出全免费对外开放；多次受邀参加全国农民艺术节、民俗展演，配合延安乡村文旅项目落地定点常态化演出，收徒 60 余名青少年，在多所乡村小学开设腰鼓兴趣社团。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
5,刘庆安,5,39,刘庆安，北京东城同仁堂退休老药工，省级古法丸药炮制技艺传承人，从业 39 年，毕生深耕宫廷古法中药炮制，个人收藏明清时期炮制古籍 37 册，含孤本宫廷药谱。受北京非遗馆邀约，固定每周在医药专题展馆开展古法炮制现场演示，酒炙、煅制、蜜炼等实操全流程现场展示，配套古籍实物陈列。同时与北京中医药大学建立合作，定期进课堂做古法炮制科普讲座，整理失传古法药方 40 余方，助力中医药古法资料存档与研究。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
6,才让旦周,6,36,才让旦周，青海玉树藏族牧民，国家级格萨尔史诗说唱传承人，家族三代史诗说唱艺人，从小跟随长辈在牧区集会传唱史诗，从业 36 年，可完整无遗漏口头说唱全本百万行格萨尔。每年固定用 28 天走遍玉树 13 个游牧乡镇开展公益巡演，深入高原牧区帐篷为牧民说唱；配合青海非遗数字化项目，分段完成全本史诗录音录像，收藏区青少年学徒 23 名，定点在乡镇传习所开课。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
7,陈月华,7,46,陈月华，浙江嵊州人，省级尹派越剧唱腔传承人，越剧尹派嫡系传人，从业 46 年，早年在嵊县越剧团担任小生主演，退休后自费创办社区免费越剧学堂，配备练功室、全套戏服与伴奏乐器。首期 126 名中老年学员常年固定周二、四、六上课，每年带领学员编排新改编传统剧目下乡公益巡演，走进浙江 20 余所中小学越剧社团授课，深耕越剧基层普及。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
8,梁炳昌,8,33,梁炳昌，广东佛山石湾本土陶艺匠人，石湾公仔烧制技艺传承人，祖传三代陶艺手艺，从业 33 年，擅长民俗人物陶塑创作，长期在佛山非遗陶艺馆常驻现场展演。每年暑期开设 5 天一期少儿陶艺研学营，全年 12 期固定招生，小朋友亲手搓泥、小型低温烧制体验，自研迷你陶艺文创摆件，产品热销佛山各大景区。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
9,周秀珍,9,35,周秀珍，江苏苏州苏绣国家级传承人，从业 35 年，专攻双面异色绣高端技艺，耗时 18 个月创作的熊猫双面屏风选用 20 余种特种丝线，被中国工艺美术馆永久收藏。常年参与国内外工艺美术博览会参展，与苏州工艺美院校企合作授课，定向培养苏绣新锐匠人。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
10,王栓柱,10,31,王栓柱，陕西宝鸡凤翔人，六代泥塑世家，从业 31 年，专注生肖泥塑新品研发，作品覆盖全国上百家文旅景区。常年外出参加全国文旅博览会现场泥塑实操，现场单日可售出两千余件民俗泥塑摆件，带动当地十余户农户从事泥塑配套产业。,1,2026/6/7 17:02,2026/6/7 17:32,1,1
